Attack,Layer,Dropped_Group,AUC
trojannn,layer4,Gini,0.9970
trojannn,layer4,Std,0.9970
trojannn,layer4,Centroid,0.9970
trojannn,layer4,PAPR,0.9972
wanet,layer1,Mean,0.8351
wanet,layer1,Gini,0.8340
wanet,layer1,Std,0.7879
wanet,layer1,Centroid,0.8144
wanet,layer1,PAPR,0.8217
wanet,layer2,Mean,0.7055
wanet,layer2,Gini,0.7473
wanet,layer2,Std,0.7045
wanet,layer2,Centroid,0.7193
wanet,layer2,PAPR,0.7404
wanet,layer3,Mean,0.6996
wanet,layer3,Gini,0.7312
wanet,layer3,Std,0.7407
wanet,layer3,Centroid,0.7412
wanet,layer3,PAPR,0.7316
wanet,layer4,Mean,0.5377
wanet,layer4,Gini,0.5586
wanet,layer4,Std,0.5586
wanet,layer4,Centroid,0.5586
wanet,layer4,PAPR,0.6836
