Attack,Layer,K,Metric,Raw_AUC,Corrected_AUC,Direction
blended,layer3,3,euclidean,0.8985,0.8985,Outward
blended,layer3,5,euclidean,0.9197,0.9197,Outward
blended,layer3,10,euclidean,0.9363,0.9363,Outward
blended,layer3,20,euclidean,0.9459,0.9459,Outward
blended,layer3,50,euclidean,0.9541,0.9541,Outward
blended,layer4,1,manhattan,0.8836,0.8836,Outward
blended,layer4,3,manhattan,0.9633,0.9633,Outward
blended,layer4,5,manhattan,0.9658,0.9658,Outward
blended,layer4,10,manhattan,0.9687,0.9687,Outward
blended,layer4,20,manhattan,0.9715,0.9715,Outward
blended,layer4,50,manhattan,0.9750,0.9750,Outward
blended,layer4,1,euclidean,0.8417,0.8417,Outward
blended,layer4,3,euclidean,0.9501,0.9501,Outward
blended,layer4,5,euclidean,0.9547,0.9547,Outward
blended,layer4,10,euclidean,0.9599,0.9599,Outward
blended,layer4,20,euclidean,0.9648,0.9648,Outward
blended,layer4,50,euclidean,0.9701,0.9701,Outward
blind,layer1,1,manhattan,0.0669,0.9331,Inward
blind,layer1,3,manhattan,0.3772,0.6228,Inward
blind,layer1,5,manhattan,0.5775,0.5775,Outward
blind,layer1,10,manhattan,0.7261,0.7261,Outward
blind,layer1,20,manhattan,0.7848,0.7848,Outward
blind,layer1,50,manhattan,0.8075,0.8075,Outward
blind,layer1,1,euclidean,0.1747,0.8253,Inward
blind,layer1,3,euclidean,0.5221,0.5221,Outward
blind,layer1,5,euclidean,0.6651,0.6651,Outward
blind,layer1,10,euclidean,0.7608,0.7608,Outward
blind,layer1,20,euclidean,0.7977,0.7977,Outward
blind,layer1,50,euclidean,0.8104,0.8104,Outward
blind,layer2,1,manhattan,0.1736,0.8264,Inward
blind,layer2,3,manhattan,0.4256,0.5744,Inward
blind,layer2,5,manhattan,0.5473,0.5473,Outward
blind,layer2,10,manhattan,0.6568,0.6568,Outward
blind,layer2,20,manhattan,0.7097,0.7097,Outward
blind,layer2,50,manhattan,0.7316,0.7316,Outward
blind,layer2,1,euclidean,0.2655,0.7345,Inward
blind,layer2,3,euclidean,0.4445,0.5555,Inward
blind,layer2,5,euclidean,0.5205,0.5205,Outward
blind,layer2,10,euclidean,0.5873,0.5873,Outward
blind,layer2,20,euclidean,0.6204,0.6204,Outward
blind,layer2,50,euclidean,0.6340,0.6340,Outward
blind,layer3,1,manhattan,0.8396,0.8396,Outward
blind,layer3,3,manhattan,0.8935,0.8935,Outward
blind,layer3,5,manhattan,0.9082,0.9082,Outward
blind,layer3,10,manhattan,0.9183,0.9183,Outward
blind,layer3,20,manhattan,0.9218,0.9218,Outward
blind,layer3,50,manhattan,0.9214,0.9214,Outward
blind,layer3,1,euclidean,0.8495,0.8495,Outward
blind,layer3,3,euclidean,0.8951,0.8951,Outward
blind,layer3,5,euclidean,0.9078,0.9078,Outward
blind,layer3,10,euclidean,0.9164,0.9164,Outward
blind,layer3,20,euclidean,0.9186,0.9186,Outward
blind,layer3,50,euclidean,0.9166,0.9166,Outward
blind,layer4,1,manhattan,0.8900,0.8900,Outward
blind,layer4,3,manhattan,0.8915,0.8915,Outward
blind,layer4,5,manhattan,0.8922,0.8922,Outward
blind,layer4,10,manhattan,0.8919,0.8919,Outward
blind,layer4,20,manhattan,0.8915,0.8915,Outward
blind,layer4,50,manhattan,0.8906,0.8906,Outward
blind,layer4,1,euclidean,0.8867,0.8867,Outward
blind,layer4,3,euclidean,0.8871,0.8871,Outward
blind,layer4,5,euclidean,0.8874,0.8874,Outward
blind,layer4,10,euclidean,0.8870,0.8870,Outward
blind,layer4,20,euclidean,0.8867,0.8867,Outward
blind,layer4,50,euclidean,0.8860,0.8860,Outward
bpp,layer1,1,manhattan,0.3262,0.6738,Inward
bpp,layer1,3,manhattan,0.7374,0.7374,Outward
bpp,layer1,5,manhattan,0.7991,0.7991,Outward
bpp,layer1,10,manhattan,0.8335,0.8335,Outward
bpp,layer1,20,manhattan,0.8450,0.8450,Outward
bpp,layer1,50,manhattan,0.8454,0.8454,Outward
bpp,layer1,1,euclidean,0.8414,0.8414,Outward
bpp,layer1,3,euclidean,0.8940,0.8940,Outward
bpp,layer1,5,euclidean,0.9008,0.9008,Outward
bpp,layer1,10,euclidean,0.9044,0.9044,Outward
bpp,layer1,20,euclidean,0.9050,0.9050,Outward
bpp,layer1,50,euclidean,0.9033,0.9033,Outward
bpp,layer2,1,manhattan,0.8002,0.8002,Outward
bpp,layer2,3,manhattan,0.9316,0.9316,Outward
bpp,layer2,5,manhattan,0.9488,0.9488,Outward
bpp,layer2,10,manhattan,0.9586,0.9586,Outward
bpp,layer2,20,manhattan,0.9634,0.9634,Outward
bpp,layer2,50,manhattan,0.9669,0.9669,Outward
bpp,layer2,1,euclidean,0.9708,0.9708,Outward
bpp,layer2,3,euclidean,0.9764,0.9764,Outward
bpp,layer2,5,euclidean,0.9773,0.9773,Outward
bpp,layer2,10,euclidean,0.9780,0.9780,Outward
bpp,layer2,20,euclidean,0.9784,0.9784,Outward
bpp,layer2,50,euclidean,0.9787,0.9787,Outward
bpp,layer3,1,manhattan,0.4923,0.5077,Inward
bpp,layer3,3,manhattan,0.8096,0.8096,Outward
bpp,layer3,5,manhattan,0.8699,0.8699,Outward
bpp,layer3,10,manhattan,0.9053,0.9053,Outward
bpp,layer3,20,manhattan,0.9188,0.9188,Outward
bpp,layer3,50,manhattan,0.9249,0.9249,Outward
bpp,layer3,1,euclidean,0.7251,0.7251,Outward
bpp,layer3,3,euclidean,0.8508,0.8508,Outward
bpp,layer3,5,euclidean,0.8711,0.8711,Outward
bpp,layer3,10,euclidean,0.8837,0.8837,Outward
bpp,layer3,20,euclidean,0.8887,0.8887,Outward
bpp,layer3,50,euclidean,0.8907,0.8907,Outward
bpp,layer4,1,manhattan,0.5768,0.5768,Outward
bpp,layer4,3,manhattan,0.5698,0.5698,Outward
bpp,layer4,5,manhattan,0.5648,0.5648,Outward
bpp,layer4,10,manhattan,0.5588,0.5588,Outward
bpp,layer4,20,manhattan,0.5544,0.5544,Outward
bpp,layer4,50,manhattan,0.5469,0.5469,Outward
bpp,layer4,1,euclidean,0.4811,0.5189,Inward
bpp,layer4,3,euclidean,0.4771,0.5229,Inward
bpp,layer4,5,euclidean,0.4761,0.5239,Inward
bpp,layer4,10,euclidean,0.4749,0.5251,Inward
bpp,layer4,20,euclidean,0.4748,0.5252,Inward
bpp,layer4,50,euclidean,0.4756,0.5244,Inward
ctrl,layer1,1,manhattan,0.1627,0.8373,Inward
ctrl,layer1,3,manhattan,0.3244,0.6756,Inward
ctrl,layer1,5,manhattan,0.4844,0.5156,Inward
ctrl,layer1,10,manhattan,0.6569,0.6569,Outward
ctrl,layer1,20,manhattan,0.7388,0.7388,Outward
ctrl,layer1,50,manhattan,0.7767,0.7767,Outward
ctrl,layer1,1,euclidean,0.4436,0.5564,Inward
ctrl,layer1,3,euclidean,0.8522,0.8522,Outward
ctrl,layer1,5,euclidean,0.9129,0.9129,Outward
ctrl,layer1,10,euclidean,0.9407,0.9407,Outward
ctrl,layer1,20,euclidean,0.9484,0.9484,Outward
ctrl,layer1,50,euclidean,0.9489,0.9489,Outward
ctrl,layer2,1,manhattan,0.2281,0.7719,Inward
ctrl,layer2,3,manhattan,0.5752,0.5752,Outward
ctrl,layer2,5,manhattan,0.7632,0.7632,Outward
ctrl,layer2,10,manhattan,0.8898,0.8898,Outward
ctrl,layer2,20,manhattan,0.9355,0.9355,Outward
ctrl,layer2,50,manhattan,0.9548,0.9548,Outward
ctrl,layer2,1,euclidean,0.9881,0.9881,Outward
ctrl,layer2,3,euclidean,0.9970,0.9970,Outward
ctrl,layer2,5,euclidean,0.9985,0.9985,Outward
ctrl,layer2,10,euclidean,0.9994,0.9994,Outward
ctrl,layer2,20,euclidean,0.9997,0.9997,Outward
ctrl,layer2,50,euclidean,0.9998,0.9998,Outward
